Date,Portfolio_Value
2024-01-02,100000.0
2024-01-03,100000.0
2024-01-04,100000.0
2024-01-05,100000.0
2024-01-08,100000.0
2024-01-09,100000.0
2024-01-10,100000.0
2024-01-11,100000.0
2024-01-12,100000.0
2024-01-16,100000.0
2024-01-17,100000.0
2024-01-18,100000.0
2024-01-19,100000.0
2024-01-22,100000.0
2024-01-23,100000.0
2024-01-24,100000.0
2024-01-25,100000.0
2024-01-26,100000.0
2024-01-29,100000.0
2024-01-30,100000.0
2024-01-31,100000.0
2024-02-01,100000.0
2024-02-02,100000.0
2024-02-05,100000.0
2024-02-06,100000.0
2024-02-07,100000.0
2024-02-08,100000.0
2024-02-09,100000.0
2024-02-12,100000.0
2024-02-13,100000.0
2024-02-14,100000.0
2024-02-15,100000.0
2024-02-16,100000.0
2024-02-20,100000.0
2024-02-21,99907.56223332975
2024-02-22,100855.03487746025
2024-02-23,100879.09495786962
2024-02-26,100902.810768025
2024-02-27,100869.0920309483
2024-02-28,100779.57847360462
2024-02-29,100904.53541059764
2024-03-01,101177.64441066465
2024-03-04,101432.73155410809
2024-03-05,101495.77382274333
2024-03-06,101731.72730753833
2024-03-07,102074.01422258392
2024-03-08,101630.65403713427
2024-03-11,101479.38774352167
2024-03-12,102203.9826957666
2024-03-13,102081.89225558084
2024-03-14,101731.22147612691
2024-03-15,101718.47574585545
2024-03-18,101792.08804324895
2024-03-19,101904.41484855453
2024-03-20,102020.42926938055
2024-03-21,102147.04558482784
2024-03-22,102486.99627685535
2024-03-25,102571.92326240266
2024-03-26,102281.16714340166
2024-03-27,102005.89610022516
2024-03-28,102018.52272851607
2024-04-01,102019.35644238003
2024-04-02,101910.84453715428
2024-04-03,101852.7182247607
2024-04-04,101488.34889919078
2024-04-05,101799.32534249296
2024-04-08,101667.2438570854
2024-04-09,101398.70144415756
2024-04-10,101699.11641768523
2024-04-11,102350.2380191445
2024-04-12,101907.9043241297
2024-04-15,101510.1706636982
2024-04-16,101803.71709298986
2024-04-17,101087.32733427167
2024-04-18,101222.12715328611
2024-04-19,99426.70790863477
2024-04-22,100232.63746188834
2024-04-23,100943.49555625032
2024-04-24,100271.54330309689
2024-04-25,100994.63721914668
2024-04-26,102243.3540929278
2024-04-29,102248.7389004268
2024-04-30,101917.16699725718
2024-05-01,101094.71843323584
2024-05-02,101774.01479429287
2024-05-03,102501.2701224508
2024-05-06,103321.26816013196
2024-05-07,102933.16978656698
2024-05-08,102898.42162190814
2024-05-09,102490.99360116759
2024-05-10,102767.7480519306
2024-05-13,102895.24452945036
2024-05-14,103129.42108505304
2024-05-15,103930.57696593573
2024-05-16,103864.26333241351
2024-05-17,103404.21997096989
2024-05-20,103967.28443099918
2024-05-21,104115.57115904665
2024-05-22,104008.88174206762
2024-05-23,106174.2542283039
2024-05-24,106827.6071359578
2024-05-28,108646.23574839858
2024-05-29,108872.33976220082
2024-05-30,107814.0018890296
2024-05-31,107601.84831824162
2024-06-03,108915.16420421854
2024-06-04,109266.8016595775
2024-06-05,110735.74651372626
2024-06-06,110382.88753075569
2024-06-07,110355.97096437757
2024-06-10,110576.69203846001
2024-06-11,110363.78575264529
2024-06-12,111413.64204036628
2024-06-13,112492.86728858478
2024-06-14,113048.3933916713
2024-06-17,112828.14113017375
2024-06-18,113953.8628743618
2024-06-20,112779.19410786405
2024-06-21,111748.91214639682
2024-06-24,109678.55919255622
2024-06-25,111789.15970397333
2024-06-26,111871.38316955674
2024-06-27,111232.2040199537
2024-06-28,111112.85449375323
2024-07-01,111314.42343711437
2024-07-02,110882.11464043337
2024-07-03,112369.99096102486
2024-07-05,111720.20494387735
2024-07-08,112348.76912909045
2024-07-09,113192.17298736348
2024-07-10,114128.39503349621
2024-07-11,112136.60141503025
2024-07-12,112652.81855831647
2024-07-15,112425.89588259495
2024-07-16,111835.90342035769
2024-07-17,109461.75577515502
