buy_size_pct,sell_base_pct,sell_formula,max_sell_pct,total_return,final_capital,sharpe_ratio,max_drawdown,num_trades,buy_trades,sell_trades,position_pct
0.05,150.0,cap,0.5,0.6663459243070968,166634.5924307097,1.1856413413376208,0.28383332334115463,58,32,26,51.22370568633355
0.05,150.0,div,0.5,0.6663459243070968,166634.5924307097,1.1856413413376208,0.28383332334115463,58,32,26,51.22370568633355
0.05,150.0,cap,1.0,0.6587956986665213,165879.56986665213,1.2060326562674941,0.2743157256649112,58,32,26,50.19384894144593
0.05,150.0,div,1.0,0.6587956986665213,165879.56986665213,1.2060326562674941,0.2743157256649112,58,32,26,50.19384894144593
0.05,150.0,cap,0.75,0.6563640605942637,165636.40605942637,1.1777104903651294,0.2829845515107756,58,32,26,51.223735198281716
0.05,150.0,div,0.75,0.6563640605942637,165636.40605942637,1.1777104903651294,0.2829845515107756,58,32,26,51.223735198281716
0.04,125.0,div,0.5,0.6548359003625237,165483.59003625237,1.230132620428062,0.25602748647934115,61,35,26,57.430072625949045
0.04,125.0,cap,0.5,0.6548359003625237,165483.59003625237,1.230132620428062,0.25602748647934115,61,35,26,57.430072625949045
0.04,150.0,cap,0.5,0.6507481682230835,165074.81682230835,1.2768015874854475,0.23852993152107102,61,35,26,50.011819724348896
0.04,150.0,div,0.5,0.6507481682230835,165074.81682230835,1.2768015874854475,0.23852993152107102,61,35,26,50.011819724348896
0.05,125.0,cap,0.5,0.6496407472993619,164964.0747299362,1.136702071968903,0.29623904296418985,56,30,26,57.430648121363795
0.05,125.0,div,0.5,0.6496407472993619,164964.0747299362,1.136702071968903,0.29623904296418985,56,30,26,57.430648121363795
0.04,125.0,cap,0.75,0.6480437551096693,164804.37551096693,1.226134297024957,0.25452346221341166,61,35,26,57.42993924040849
0.04,125.0,div,0.75,0.6480437551096693,164804.37551096693,1.226134297024957,0.25452346221341166,61,35,26,57.42993924040849
0.04,150.0,div,0.75,0.6408634343852662,164086.34343852662,1.269315540280299,0.23741005612904595,61,35,26,49.908282949838416
0.04,150.0,cap,0.75,0.6408634343852662,164086.34343852662,1.269315540280299,0.23741005612904595,61,35,26,49.908282949838416
0.05,125.0,div,0.75,0.6398667910985675,163986.67910985675,1.1298213808959947,0.29527653479137295,56,30,26,57.43048360755043
0.05,125.0,cap,0.75,0.6398667910985675,163986.67910985675,1.1298213808959947,0.29527653479137295,56,30,26,57.43048360755043
0.04,125.0,div,1.0,0.6387659049661967,163876.59049661967,1.2487383916576345,0.24421985739808286,61,35,26,55.72989261201634
0.04,125.0,cap,1.0,0.6387659049661967,163876.59049661967,1.2487383916576345,0.24421985739808286,61,35,26,55.72989261201634
0.05,125.0,div,1.0,0.6387523722540471,163875.2372254047,1.1508733929548984,0.28847089522690367,57,31,26,56.47707903424642
0.05,125.0,cap,1.0,0.6387523722540471,163875.2372254047,1.1508733929548984,0.28847089522690367,57,31,26,56.47707903424642
0.04,100.0,cap,1.0,0.6269092722794231,162690.9272279423,1.1875014750790691,0.26372656067385875,61,35,26,63.46936842065922
0.04,100.0,div,1.0,0.6269092722794231,162690.9272279423,1.1875014750790691,0.26372656067385875,61,35,26,63.46936842065922
0.04,100.0,cap,0.5,0.6263384265206114,162633.84265206114,1.1602907883747655,0.27569138435276414,60,34,26,64.31669842194692
0.04,100.0,div,0.5,0.6263384265206114,162633.84265206114,1.1602907883747655,0.27569138435276414,60,34,26,64.31669842194692
0.05,100.0,div,0.5,0.626227150234457,162622.7150234457,1.0829376589467967,0.3116496741441501,55,29,26,64.3167673441981
0.05,100.0,cap,0.5,0.626227150234457,162622.7150234457,1.0829376589467967,0.3116496741441501,55,29,26,64.3167673441981
