Date,Portfolio_Value,Cash,Position_Value
2024-01-02,100000.0,100000.0,0.0
2024-01-03,100000.0,100000.0,0.0
2024-01-04,100000.0,100000.0,0.0
2024-01-05,100000.0,100000.0,0.0
2024-01-08,100000.0,100000.0,0.0
2024-01-09,100000.0,100000.0,0.0
2024-01-10,100000.0,100000.0,0.0
2024-01-11,100000.0,100000.0,0.0
2024-01-12,100000.0,100000.0,0.0
2024-01-16,100000.0,100000.0,0.0
2024-01-17,100000.0,100000.0,0.0
2024-01-18,100000.0,100000.0,0.0
2024-01-19,100000.0,100000.0,0.0
2024-01-22,100000.0,100000.0,0.0
2024-01-23,100000.0,100000.0,0.0
2024-01-24,100000.0,100000.0,0.0
2024-01-25,100000.0,100000.0,0.0
2024-01-26,100000.0,100000.0,0.0
2024-01-29,100000.0,100000.0,0.0
2024-01-30,100000.0,100000.0,0.0
2024-01-31,100000.0,100000.0,0.0
2024-02-01,100000.0,100000.0,0.0
2024-02-02,100000.0,100000.0,0.0
2024-02-05,100000.0,100000.0,0.0
2024-02-06,100000.0,100000.0,0.0
2024-02-07,100000.0,100000.0,0.0
2024-02-08,100000.0,100000.0,0.0
2024-02-09,100000.0,100000.0,0.0
2024-02-12,100000.0,100000.0,0.0
2024-02-13,100000.0,100000.0,0.0
2024-02-14,100000.0,100000.0,0.0
2024-02-15,100000.0,100000.0,0.0
2024-02-16,100000.0,100000.0,0.0
2024-02-20,100000.0,100000.0,0.0
2024-02-21,99994.004995005,94999.0,4995.004995004995
2024-02-22,100813.22962246966,94999.0,5814.2296224696565
2024-02-23,100833.88321317929,94999.0,5834.88321317929
2024-02-26,100854.2423903411,94999.0,5855.24239034109
2024-02-27,100825.29605718532,94999.0,5826.296057185321
2024-02-28,100748.4518608284,94999.0,5749.451860828392
2024-02-29,100855.72349957116,94999.0,5856.723499571163
2024-03-01,101090.17783532517,94999.0,6091.177835325167
2024-03-04,101309.16048484866,94999.0,6310.160484848657
2024-03-05,101363.28002398385,94999.0,6364.280023983852
2024-03-06,101565.83767507876,94999.0,6566.837675078762
2024-03-07,101859.67934861075,94999.0,6860.679348610746
2024-03-08,101479.0693122592,94999.0,6480.069312259205
2024-03-11,101349.21259431065,94999.0,6350.212594310658
2024-03-12,101803.7102594908,94999.0,6804.710259490801
2024-03-13,101727.82446117057,94999.0,6728.824461170578
2024-03-14,101509.86802086563,94999.0,6510.868020865635
2024-03-15,101501.9459795469,94999.0,6502.945979546903
2024-03-18,101547.69874902912,94999.0,6548.698749029116
2024-03-19,101617.51431638809,94999.0,6618.514316388086
2024-03-20,101689.62303187969,94999.0,6690.623031879692
2024-03-21,101768.32073387364,94999.0,6769.320733873645
2024-03-22,101979.61529065575,94999.0,6980.615290655759
2024-03-25,102027.88450927644,98511.18390433575,3516.7006049406937
2024-03-26,101937.52554437832,98511.18390433575,3426.341640042585
2024-03-27,101851.9791955649,98511.18390433575,3340.7952912291453
2024-03-28,101855.90320262083,98511.18390433575,3344.7192982850893
2024-04-01,101856.16229784478,98511.18390433575,3344.978393509045
2024-04-02,101822.439514568,98511.18390433575,3311.255610232255
2024-04-03,101804.37546336498,98511.18390433575,3293.191559029227
2024-04-04,101691.13983117917,98511.18390433575,3179.9559268434205
2024-04-05,101768.98678538759,98511.18390433575,3257.8028810518435
2024-04-08,101736.5967743806,98511.18390433575,3225.4128700448464
2024-04-09,101670.74279277417,98511.18390433575,3159.5588884384247
2024-04-10,101733.1172131123,98511.18390433575,3221.9333087765613
2024-04-11,101865.5275871504,98511.18390433575,3354.343682814655
2024-04-12,101775.57548934335,98511.18390433575,3264.3915850076005
2024-04-15,101694.6934196543,98511.18390433575,3183.5095153185503
2024-04-16,101747.03574073204,98511.18390433575,3235.851836396294
2024-04-17,101621.9178942079,98511.18390433575,3110.733989872162
2024-04-18,101645.46052381062,98511.18390433575,3134.2766194748697
2024-04-19,101325.8273714627,93443.58945911699,7882.2379123457085
2024-04-22,101669.0449987668,93443.58945911699,8225.455539649802
2024-04-23,101969.54300706432,93443.58945911699,8525.95354794733
2024-04-24,101685.49299165381,93443.58945911699,8241.903532536815
2024-04-25,101991.16257989613,93443.58945911699,8547.573120779138
2024-04-26,102519.02456052991,93443.58945911699,9075.435101412917
2024-04-29,102521.30005570562,93443.58945911699,9077.710596588626
2024-04-30,102381.13681678049,93443.58945911699,8937.547357663492
2024-05-01,102033.46847250711,93443.58945911699,8589.879013390118
2024-05-02,102320.62301499289,93443.58945911699,8877.033555875889
2024-05-03,102628.05094041643,93443.58945911699,9184.461481299442
2024-05-06,102974.68338959248,93443.58945911699,9531.09393047548
2024-05-07,102810.62508265983,93443.58945911699,9367.03562354283
2024-05-08,102795.93621650823,93443.58945911699,9352.346757391237
2024-05-09,102623.70602370863,93443.58945911699,9180.116564591626
2024-05-10,102740.6982158185,93443.58945911699,9297.108756701513
