Date,Portfolio_Value,Cash,Position_Value
2024-01-02,100000.0,100000.0,0.0
2024-01-03,100000.0,100000.0,0.0
2024-01-04,100000.0,100000.0,0.0
2024-01-05,100000.0,100000.0,0.0
2024-01-08,100000.0,100000.0,0.0
2024-01-09,100000.0,100000.0,0.0
2024-01-10,100000.0,100000.0,0.0
2024-01-11,100000.0,100000.0,0.0
2024-01-12,100000.0,100000.0,0.0
2024-01-16,100000.0,100000.0,0.0
2024-01-17,100000.0,100000.0,0.0
2024-01-18,100000.0,100000.0,0.0
2024-01-19,100000.0,100000.0,0.0
2024-01-22,100000.0,100000.0,0.0
2024-01-23,100000.0,100000.0,0.0
2024-01-24,100000.0,100000.0,0.0
2024-01-25,100000.0,100000.0,0.0
2024-01-26,100000.0,100000.0,0.0
2024-01-29,100000.0,100000.0,0.0
2024-01-30,100000.0,100000.0,0.0
2024-01-31,100000.0,100000.0,0.0
2024-02-01,100000.0,100000.0,0.0
2024-02-02,100000.0,100000.0,0.0
2024-02-05,100000.0,100000.0,0.0
2024-02-06,100000.0,100000.0,0.0
2024-02-07,100000.0,100000.0,0.0
2024-02-08,100000.0,100000.0,0.0
2024-02-09,100000.0,100000.0,0.0
2024-02-12,100000.0,100000.0,0.0
2024-02-13,100000.0,100000.0,0.0
2024-02-14,100000.0,100000.0,0.0
2024-02-15,100000.0,100000.0,0.0
2024-02-16,100000.0,100000.0,0.0
2024-02-20,100000.0,100000.0,0.0
2024-02-21,99996.002997003,96999.0,2997.002997002997
2024-02-22,100487.53709536997,96999.0,3488.5370953699758
2024-02-23,100499.93026696348,96999.0,3500.930266963483
2024-02-26,100512.14543420465,96999.0,3513.145434204654
2024-02-27,100494.77729525528,96999.0,3495.777295255283
2024-02-28,100448.67111649703,96999.0,3449.6711164970347
2024-02-29,100513.03342163088,96999.0,3514.0334216308797
2024-03-01,100653.70636213919,96999.0,3654.706362139191
2024-03-04,100785.0966299651,96999.0,3786.0966299651036
2024-03-05,100817.56801439032,96999.0,3818.568014390311
2024-03-06,100939.10260504726,96999.0,3940.102605047257
2024-03-07,101115.40727011053,96999.0,4116.407270110539
2024-03-08,100887.04192641143,96999.0,3888.041926411432
2024-03-11,100809.12857375412,96999.0,3810.128573754122
2024-03-12,101081.82581663858,96999.0,4082.8258166385717
2024-03-13,101036.29467670235,96999.0,4037.2946767023464
2024-03-14,100905.52047346348,96999.0,3906.5204734634717
2024-03-15,100900.76724867223,96999.0,3901.767248672232
2024-03-18,100928.21992752928,96999.0,3929.219927529288
2024-03-19,100970.10858983285,96999.0,3971.1085898328515
2024-03-20,101013.37381912781,96999.0,4014.373819127815
2024-03-21,101060.5927793801,96999.0,4061.592779380096
2024-03-22,101187.36883533755,96999.0,4188.368835337546
2024-03-25,101213.8206852029,101213.8206852029,0.0
2024-03-26,101213.8206852029,101213.8206852029,0.0
2024-03-27,101213.8206852029,101213.8206852029,0.0
2024-03-28,101213.8206852029,101213.8206852029,0.0
2024-04-01,101213.8206852029,101213.8206852029,0.0
2024-04-02,101213.8206852029,101213.8206852029,0.0
2024-04-03,101213.8206852029,101213.8206852029,0.0
2024-04-04,101213.8206852029,101213.8206852029,0.0
2024-04-05,101213.8206852029,101213.8206852029,0.0
2024-04-08,101213.8206852029,101213.8206852029,0.0
2024-04-09,101213.8206852029,101213.8206852029,0.0
2024-04-10,101213.8206852029,101213.8206852029,0.0
2024-04-11,101213.8206852029,101213.8206852029,0.0
2024-04-12,101213.8206852029,101213.8206852029,0.0
2024-04-15,101213.8206852029,101213.8206852029,0.0
2024-04-16,101213.8206852029,101213.8206852029,0.0
2024-04-17,101213.8206852029,101213.8206852029,0.0
2024-04-18,101213.8206852029,101213.8206852029,0.0
2024-04-19,101209.78730396359,98176.40606464681,3033.3812393167705
2024-04-22,101341.87064352572,98176.40606464681,3165.4645788789085
2024-04-23,101457.51295741177,98176.40606464681,3281.1068927649635
2024-04-24,101348.20014519566,98176.40606464681,3171.7940805488433
2024-04-25,101465.83328501141,98176.40606464681,3289.42722036459
2024-04-26,101668.97410006804,98176.40606464681,3492.568035421227
2024-04-29,101669.85009993913,98176.40606464681,3493.4440352923048
2024-04-30,101615.91032431873,98176.40606464681,3439.504259671909
2024-05-01,101482.1144855289,98176.40606464681,3305.7084208820934
2024-05-02,101592.62203638293,98176.40606464681,3416.215971736118
2024-05-03,101710.9318503967,98176.40606464681,3534.525785749884
2024-05-06,101844.32873399029,98176.40606464681,3667.922669343472
2024-05-07,101781.1929347493,98176.40606464681,3604.7868701024836
2024-05-08,101775.5407149776,98176.40606464681,3599.1346503307914
2024-05-09,101709.26006708395,98176.40606464681,3532.85400243713
2024-05-10,101754.2830573361,98176.40606464681,3577.876992689281
2024-05-13,101775.02295438784,98176.40606464681,3598.616889741018
2024-05-14,101813.1193775012,98176.40606464681,3636.7133128543937
