Date,Portfolio_Value,Cash,Position_Value
2023-01-03,100000.0,100000.0,0.0
2023-01-04,100000.0,100000.0,0.0
2023-01-05,100000.0,100000.0,0.0
2023-01-06,100000.0,100000.0,0.0
2023-01-09,100000.0,100000.0,0.0
2023-01-10,100000.0,100000.0,0.0
2023-01-11,100000.0,100000.0,0.0
2023-01-12,100000.0,100000.0,0.0
2023-01-13,100000.0,100000.0,0.0
2023-01-17,100000.0,100000.0,0.0
2023-01-18,100000.0,100000.0,0.0
2023-01-19,100000.0,100000.0,0.0
2023-01-20,100000.0,100000.0,0.0
2023-01-23,100000.0,100000.0,0.0
2023-01-24,100000.0,100000.0,0.0
2023-01-25,100000.0,100000.0,0.0
2023-01-26,100000.0,100000.0,0.0
2023-01-27,100000.0,100000.0,0.0
2023-01-30,100000.0,100000.0,0.0
2023-01-31,100000.0,100000.0,0.0
2023-02-01,100000.0,100000.0,0.0
2023-02-02,100000.0,100000.0,0.0
2023-02-03,100000.0,100000.0,0.0
2023-02-06,100000.0,100000.0,0.0
2023-02-07,100000.0,100000.0,0.0
2023-02-08,100000.0,100000.0,0.0
2023-02-09,100000.0,100000.0,0.0
2023-02-10,100000.0,100000.0,0.0
2023-02-13,100000.0,100000.0,0.0
2023-02-14,100000.0,100000.0,0.0
2023-02-15,100000.0,100000.0,0.0
2023-02-16,100000.0,100000.0,0.0
2023-02-17,100000.0,100000.0,0.0
2023-02-21,100000.0,100000.0,0.0
2023-02-22,99994.004995005,94999.0,4995.004995004996
2023-02-23,100062.40623379128,94999.0,5063.4062337912765
2023-02-24,100041.88599847529,94999.0,5042.885998475297
2023-02-27,100040.17586526572,94999.0,5041.175865265712
2023-02-28,100005.97524587257,94999.0,5006.975245872572
2023-03-01,100104.30177102803,94999.0,5105.301771028027
2023-03-02,100152.18345609786,94999.0,5153.183456097855
2023-03-03,100235.97487137112,94999.0,5236.97487137112
2023-03-06,100272.74069057863,94999.0,5273.740690578639
2023-03-07,100201.77425197799,94999.0,5202.7742519779795
2023-03-08,100312.9260946058,94999.0,5313.926094605805
2023-03-09,100192.01885876866,94999.0,5193.018858768654
2023-03-10,100131.993455752,94999.0,5132.993455752001
2023-03-13,100071.11128213174,94999.0,5072.111282131741
2023-03-14,100160.29074165442,94999.0,5161.2907416544185
2023-03-15,99863.61027655652,90004.52006159982,9859.090214956695
2023-03-16,100252.41927963843,90004.52006159982,10247.899218038616
2023-03-17,100155.21754625438,90004.52006159982,10150.697484654565
2023-03-20,100242.00532559086,90004.52006159982,10237.48526399104
2023-03-21,100460.7100880157,90004.52006159982,10456.19002641587
2023-03-22,100189.93141626155,90004.52006159982,10185.411354661725
2023-03-23,100155.21754625438,90004.52006159982,10150.697484654565
2023-03-24,100103.1429470765,90004.52006159982,10098.622885476678
2023-03-27,100358.29999791071,90004.52006159982,10353.779936310888
2023-03-28,100802.65353848923,90004.52006159982,10798.13347688941
2023-03-29,100781.82425069693,90004.52006159982,10777.304189097113
2023-03-30,100821.74785712217,90004.52006159982,10817.22779552235
2023-03-31,100840.84010620939,90004.52006159982,10836.320044609574
2023-04-03,101318.17392733286,90004.52006159982,11313.653865733044
2023-04-04,101257.42103311533,90004.52006159982,11252.90097151551
2023-04-05,101205.68794347956,95601.80205959774,5603.885883881814
2023-04-06,101072.90313088724,95601.80205959774,5471.101071289494
2023-04-10,101164.02936789497,95601.80205959774,5562.227308297221
