Date,Portfolio_Value,Cash,Position_Value
2023-01-03,100000.0,100000.0,0.0
2023-01-04,100000.0,100000.0,0.0
2023-01-05,100000.0,100000.0,0.0
2023-01-06,100000.0,100000.0,0.0
2023-01-09,100000.0,100000.0,0.0
2023-01-10,100000.0,100000.0,0.0
2023-01-11,100000.0,100000.0,0.0
2023-01-12,100000.0,100000.0,0.0
2023-01-13,100000.0,100000.0,0.0
2023-01-17,100000.0,100000.0,0.0
2023-01-18,100000.0,100000.0,0.0
2023-01-19,100000.0,100000.0,0.0
2023-01-20,100000.0,100000.0,0.0
2023-01-23,100000.0,100000.0,0.0
2023-01-24,100000.0,100000.0,0.0
2023-01-25,100000.0,100000.0,0.0
2023-01-26,100000.0,100000.0,0.0
2023-01-27,100000.0,100000.0,0.0
2023-01-30,100000.0,100000.0,0.0
2023-01-31,100000.0,100000.0,0.0
2023-02-01,100000.0,100000.0,0.0
2023-02-02,100000.0,100000.0,0.0
2023-02-03,100000.0,100000.0,0.0
2023-02-06,100000.0,100000.0,0.0
2023-02-07,100000.0,100000.0,0.0
2023-02-08,100000.0,100000.0,0.0
2023-02-09,100000.0,100000.0,0.0
2023-02-10,100000.0,100000.0,0.0
2023-02-13,100000.0,100000.0,0.0
2023-02-14,100000.0,100000.0,0.0
2023-02-15,100000.0,100000.0,0.0
2023-02-16,100000.0,100000.0,0.0
2023-02-17,100000.0,100000.0,0.0
2023-02-21,100000.0,100000.0,0.0
2023-02-22,99996.002997003,96999.0,2997.0029970029973
2023-02-23,100037.04374027476,96999.0,3038.0437402747657
2023-02-24,100024.73139460532,96999.0,3025.7313946053205
2023-02-27,100023.70572363929,96999.0,3024.7057236392843
2023-02-28,100003.1853520034,96999.0,3004.1853520034
2023-03-01,100062.18147157654,96999.0,3063.1814715765317
2023-03-02,100090.91007365871,96999.0,3091.910073658713
2023-03-03,100141.18471834282,96999.0,3142.184718342814
2023-03-06,100163.24420986732,96999.0,3164.2442098673255
2023-03-07,100120.66414222708,96999.0,3121.6641422270723
2023-03-08,100187.3560657232,96999.0,3188.356065723198
2023-03-09,100114.81111078133,96999.0,3115.8111107813347
2023-03-10,100078.79586897134,96999.0,3079.7958689713428
2023-03-13,100042.26676927904,96999.0,3043.2667692790446
2023-03-14,100095.77444499265,96999.0,3096.7744449926513
2023-03-15,99917.36461467038,94000.35922217593,5917.005392494454
2023-03-16,100150.71077906173,94000.35922217593,6150.351556885801
2023-03-17,100092.37403095505,94000.35922217593,6092.014808779121
2023-03-20,100144.46076806546,94000.35922217593,6144.101545889531
2023-03-21,100275.7180372878,94000.35922217593,6275.358815111874
2023-03-22,100113.20864299568,94000.35922217593,6112.849420819748
2023-03-23,100092.37403095505,94000.35922217593,6092.014808779121
2023-03-24,100061.12231990296,94000.35922217593,6060.763097727025
2023-03-27,100214.25669770068,94000.35922217593,6213.8974755247455
2023-03-28,100480.93832416057,94000.35922217593,6480.579101984632
2023-03-29,100468.43788815034,94000.35922217593,6468.078665974405
2023-03-30,100492.39709167142,94000.35922217593,6492.037869495481
2023-03-31,100503.85585918227,94000.35922217593,6503.496637006329
2023-04-03,100790.33125721877,94000.35922217593,6789.972035042837
2023-04-04,100753.8707896521,94000.35922217593,6753.511567476162
2023-04-05,100719.05973967076,100719.05973967076,0.0
2023-04-06,100719.05973967076,100719.05973967076,0.0
2023-04-10,100719.05973967076,100719.05973967076,0.0
