Date,Portfolio_Value,Cash,Position_Value
2023-01-03,100000.0,100000.0,0.0
2023-01-04,100000.0,100000.0,0.0
2023-01-05,100000.0,100000.0,0.0
2023-01-06,100000.0,100000.0,0.0
2023-01-09,100000.0,100000.0,0.0
2023-01-10,100000.0,100000.0,0.0
2023-01-11,100000.0,100000.0,0.0
2023-01-12,100000.0,100000.0,0.0
2023-01-13,100000.0,100000.0,0.0
2023-01-17,100000.0,100000.0,0.0
2023-01-18,100000.0,100000.0,0.0
2023-01-19,100000.0,100000.0,0.0
2023-01-20,100000.0,100000.0,0.0
2023-01-23,100000.0,100000.0,0.0
2023-01-24,100000.0,100000.0,0.0
2023-01-25,100000.0,100000.0,0.0
2023-01-26,100000.0,100000.0,0.0
2023-01-27,100000.0,100000.0,0.0
2023-01-30,100000.0,100000.0,0.0
2023-01-31,100000.0,100000.0,0.0
2023-02-01,100000.0,100000.0,0.0
2023-02-02,100000.0,100000.0,0.0
2023-02-03,100000.0,100000.0,0.0
2023-02-06,100000.0,100000.0,0.0
2023-02-07,100000.0,100000.0,0.0
2023-02-08,100000.0,100000.0,0.0
2023-02-09,100000.0,100000.0,0.0
2023-02-10,100000.0,100000.0,0.0
2023-02-13,100000.0,100000.0,0.0
2023-02-14,100000.0,100000.0,0.0
2023-02-15,100000.0,100000.0,0.0
2023-02-16,100000.0,100000.0,0.0
2023-02-17,100000.0,100000.0,0.0
2023-02-21,100000.0,100000.0,0.0
2023-02-22,99996.002997003,96999.0,2997.0029970029977
2023-02-23,100037.04394755478,96999.0,3038.0439475547705
2023-02-24,100024.73160104528,96999.0,3025.731601045277
2023-02-27,100023.70593000927,96999.0,3024.7059300092615
2023-02-28,100003.18576145318,96999.0,3004.1857614531823
2023-03-01,100062.18168057164,96999.0,3063.181680571636
2023-03-02,100090.91008013404,96999.0,3091.910080134044
2023-03-03,100141.18472824829,96999.0,3142.18472824829
2023-03-06,100163.24422127788,96999.0,3164.244221277879
2023-03-07,100120.66435521234,96999.0,3121.6643552123396
2023-03-08,100187.35587429898,96999.0,3188.3558742989862
2023-03-09,100114.81152784714,96999.0,3115.8115278471323
2023-03-10,100078.79628357988,96999.0,3079.796283579888
2023-03-13,100042.2669769154,96999.0,3043.2669769154068
2023-03-14,100095.77506523949,96999.0,3096.7750652394843
2023-03-15,99917.36481405149,94000.35921619432,5917.005597857161
2023-03-16,100150.71181457702,94000.35921619432,6150.352598382702
2023-03-17,100092.37382239253,94000.35921619432,6092.014606198214
2023-03-20,100144.46056131073,94000.35921619432,6144.101345116409
2023-03-21,100275.71907714175,94000.35921619432,6275.3598609474275
2023-03-22,100113.20926319167,94000.35921619432,6112.850046997354
2023-03-23,100092.37382239253,94000.35921619432,6092.014606198214
2023-03-24,100061.12293829118,94000.35921619432,6060.76372209686
2023-03-27,100214.25649336838,94000.35921619432,6213.8972771740455
2023-03-28,100480.93854310173,94000.35921619432,6480.5793269074065
2023-03-29,100468.43810665765,94000.35921619432,6468.078890463325
2023-03-30,100492.39772502799,94000.35921619432,6492.038508833657
2023-03-31,100503.85649293652,94000.35921619432,6503.497276742208
2023-04-03,100790.3319009158,94000.35921619432,6789.972684721475
2023-04-04,100753.87101806598,94000.35921619432,6753.5118018716585
2023-04-05,100722.42318050012,97359.20959155275,3363.213588947365
2023-04-06,100642.73077632838,97359.20959155275,3283.521184775626
